                    WIND SENSOR ERRORS
  level synop   ship   buoy  metar  pilot  profl  sound  satem  satob  airep  ssmt1  ssmt2   ssmi   tovs  other 
   10.    2.7    2.7    2.7    2.7    2.8    2.8    2.7    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
   20.    2.7    2.7    2.7    2.7    2.8    2.8    2.7    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
   30.    2.7    2.7    2.7    2.7    2.8    2.8    2.7    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
   40.    2.1    2.1    2.7    2.1    2.8    2.8    2.1    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
   50.    2.7    2.7    2.7    2.7    2.8    2.8    2.7    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  100.    2.7    2.7    2.5    2.7    2.8    2.8    2.7    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  150.    3.0    3.0    2.7    3.0    2.8    2.8    3.0    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  200.    3.3    3.3    3.0    3.3    3.0    3.0    3.3    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  250.    3.3    3.3    3.2    3.3    3.1    3.1    3.3    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  300.    3.3    3.3    3.4    3.3    3.2    3.2    3.3    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  350.    3.0    3.0    3.2    3.0    3.1    3.1    3.0    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  400.    2.8    2.8    3.1    2.8    3.0    3.0    2.8    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  450.    2.5    2.5    3.0    2.5    2.9    2.9    2.5    4.5    4.5    3.6    4.5    4.5    4.5    4.5    5.0
  500.    2.3    2.3    2.8    2.3    2.8    2.8    2.3    4.5    4.5    3.6    4.5    4.5    4.5    4.5    4.3
  550.    2.0    2.0    2.7    2.0    2.7    2.7    2.0    4.5    4.5    3.6    4.5    4.5    4.5    4.5    4.3
  600.    1.8    1.8    2.6    1.8    2.6    2.6    1.8    4.5    4.5    3.6    4.5    4.5    4.5    4.5    4.3
  650.    1.6    1.6    2.5    1.6    2.4    2.4    1.6    4.5    4.5    3.6    4.5    4.5    4.5    4.5    4.3
  700.    1.4    1.4    2.4    1.4    2.2    2.2    1.4    4.5    4.5    3.6    4.5    4.5    4.5    4.5    4.3
  750.    1.3    1.3    2.2    1.3    2.2    2.2    1.3    4.5    4.5    3.6    4.5    4.5    4.5    4.5    4.3
  800.    1.1    1.1    2.1    1.1    2.2    2.2    1.1    4.5    4.5    3.6    4.5    4.5    4.5    4.5    4.3
  850.    1.1    1.1    1.9    1.1    2.2    2.2    1.1    2.5    2.5    3.6    2.5    2.5    2.5    2.5    4.3
  900.    1.1    1.1    1.7    1.1    2.2    2.2    1.1    2.5    2.5    3.6    2.5    2.5    2.5    2.5    4.3
  950.    1.1    1.1    1.6    1.1    2.2    2.2    1.1    2.5    2.5    3.6    2.5    2.5    2.5    2.5    4.3
 1000.    1.1    1.1    1.4    1.1    2.2    2.2    1.1    2.5    2.5    3.6    2.5    2.5    2.5    2.5    4.3
 1050.    1.1    1.1    1.4    1.1    2.2    2.2    1.1    2.5    2.5    3.6    2.5    2.5    2.5    2.5    4.3
 1100.    1.1    1.1    1.4    1.1    2.2    2.2    1.1    2.5    2.5    3.6    2.5    2.5    2.5    2.5    4.3
