storm	cycle
CHABA	12z25OCT2010
	12z26OCT2010
	12Z27OCT2010
VAMCO	12Z21AUG2009
DANIEELE	00z25AUG2010
	00z28AUG2010
DEAN	00z15AUG2007
	12Z16AUG2007
	12Z17AUG2007
DOLPHIN	12Z12DEC2008
EARL	00Z01SEP2010
	00Z31AUG2010
FUNGWONG	00z26JUL2008
GUSTAV	00z29AUG2008
HALONG	00z16MAY2008
HANNA	00Z04SEP2008
IGOR	00z18SEP2010
JANGMI	00Z28SEP2008
KROSA	00z03OCT2007
	00z04OCT2007
LEKIMA	12z01OCT2007
MANYI	00z09JUL2007
	00z10JUL2007
	00z11JUL2007
MEGI	00z15OCT2010
MITAG	00z21NOV2007
	00z23NOV2007
SEPAT	00Z16AUG2007
CHANTHU	12Z18JUL2010
IKE	00z10SEP2008
BILL	00Z16AUG2009
	00Z17AUG2009
	00Z18AUG2009
FAY	00z21AUG2008

